service_id,date,exception_type
3344,20250510,1
3344,20250517,1
3344,20250524,1
3344,20250531,1
3344,20250607,1
3344,20250614,1
3344,20250621,1
3344,20250628,1
3601,20250508,1
3601,20250509,1
3601,20250512,1
3601,20250513,1
3601,20250514,1
3601,20250515,1
3601,20250516,1
3601,20250520,1
3601,20250521,1
3601,20250522,1
3601,20250523,1
3601,20250526,1
3601,20250527,1
3601,20250528,1
3601,20250529,1
3601,20250530,1
3601,20250602,1
3601,20250603,1
3601,20250604,1
3601,20250605,1
3601,20250606,1
3601,20250609,1
3601,20250610,1
3601,20250611,1
3601,20250612,1
3601,20250613,1
3601,20250616,1
3601,20250617,1
3601,20250618,1
3601,20250619,1
3601,20250620,1
3601,20250623,1
3601,20250624,1
3601,20250625,1
3601,20250626,1
3601,20250627,1
3602,20250508,1
3602,20250512,1
3602,20250513,1
3602,20250514,1
3602,20250515,1
3602,20250520,1
3602,20250521,1
3602,20250522,1
3602,20250526,1
3602,20250527,1
3602,20250528,1
3602,20250529,1
3602,20250602,1
3602,20250603,1
3602,20250604,1
3602,20250605,1
3602,20250609,1
3602,20250610,1
3602,20250611,1
3602,20250612,1
3602,20250616,1
3602,20250617,1
3602,20250618,1
3602,20250619,1
3602,20250623,1
3602,20250624,1
3602,20250625,1
3602,20250626,1
3603,20250509,1
3603,20250516,1
3603,20250523,1
3603,20250530,1
3603,20250606,1
3603,20250613,1
3603,20250620,1
3603,20250627,1
3706,20250511,1
3706,20250518,1
3706,20250525,1
3706,20250601,1
3706,20250608,1
3706,20250615,1
3706,20250622,1
3706,20250629,1
3832,20250513,1
3832,20250520,1
3832,20250527,1
3832,20250603,1
3832,20250610,1
3832,20250617,1
3832,20250624,1
3833,20250514,1
3833,20250521,1
3833,20250528,1
3833,20250604,1
3833,20250611,1
3833,20250618,1
3833,20250625,1
4167,20250508,1
4167,20250512,1
4167,20250513,1
4167,20250515,1
4167,20250520,1
4167,20250522,1
4167,20250526,1
4167,20250527,1
4167,20250529,1
4167,20250602,1
4167,20250603,1
4167,20250605,1
4167,20250609,1
4167,20250610,1
4167,20250612,1
4167,20250616,1
4167,20250617,1
4167,20250619,1
4167,20250623,1
4167,20250624,1
4167,20250626,1
4168,20250508,1
4168,20250512,1
4168,20250514,1
4168,20250515,1
4168,20250521,1
4168,20250522,1
4168,20250526,1
4168,20250528,1
4168,20250529,1
4168,20250602,1
4168,20250604,1
4168,20250605,1
4168,20250609,1
4168,20250611,1
4168,20250612,1
4168,20250616,1
4168,20250618,1
4168,20250619,1
4168,20250623,1
4168,20250625,1
4168,20250626,1
4172,20250511,1
4172,20250518,1
4172,20250519,1
4172,20250525,1
4172,20250601,1
4172,20250608,1
4172,20250615,1
4172,20250622,1
4172,20250629,1
4177,20250519,1
